rank,host,core,stage,count,sum_us,max_us,start_us,end_us,aux0,aux1,aux2,aux3
0,rank0,0,kernel_total,1,79.049,79.049,24.329,103.37799072265625,0,0,0,0
0,rank0,0,pack_total,1,22.176,22.176,24.424,46.600006103515625,0,0,0,0
0,rank0,0,pack_input_wait,18,0.407,0.023,24.731,44.746002197265625,184320,0,0,0
0,rank0,0,pack_quantize,18,5.586,0.33,24.826,45.160980224609375,92160,198,0,0
0,rank0,0,pack_tx_publish,18,3.284,0.229,26.218,46.295989990234375,0,18,18,1152
0,rank0,0,receive_total,1,56.409,56.409,46.794,103.2030029296875,0,0,0,0
0,rank0,0,rx_flag_poll_wait,3,43.118,41.288,47.159,98.85000610351562,38,98,80,1078
0,rank0,0,rx_unpack_wait,18,3.128,0.361,88.736,101.99398803710938,95040,0,0,0
0,rank0,0,rx_unpack_dequant_clear,21,1.772,0.176,89.169,102.37298583984375,92160,198,0,0
0,rank0,0,rx_output,3,1.042,0.364,92.232,102.80899047851562,30720,2,1,0
0,rank0,0,start_gate,1,22.008,22.008,2.22,24.227996826171875,0,0,0,0
0,rank0,0,pack_tx_data_submit,18,0.371,0.021,25.248,45.311004638671875,101376,0,0,0
0,rank0,0,pack_first_tx_ready,1,2.128,2.128,24.437,26.56500244140625,0,0,0,0
0,rank0,0,pack_mte3_exposed_wait,18,0.034,0.003,26.13,45.813995361328125,101376,0,0,0
0,rank0,1,kernel_total,1,73.465,73.465,24.612,98.07699584960938,0,0,0,0
0,rank0,1,pack_total,1,22.1,22.1,24.707,46.806976318359375,0,0,0,0
0,rank0,1,pack_input_wait,18,0.407,0.023,25.015,44.936004638671875,184320,0,0,0
0,rank0,1,pack_quantize,18,5.53,0.33,25.109,45.332000732421875,92160,198,0,0
0,rank0,1,pack_tx_publish,18,3.208,0.219,26.486,46.458984375,0,18,18,1152
0,rank0,1,receive_total,1,50.89,50.89,47.016,97.906005859375,0,0,0,0
0,rank0,1,rx_flag_poll_wait,3,37.204,35.295,47.408,93.31997680664062,34,82,64,902
0,rank0,1,rx_unpack_wait,18,3.384,0.365,83.0,96.57998657226562,95040,0,0,0
0,rank0,1,rx_unpack_dequant_clear,21,1.769,0.173,83.438,96.96099853515625,92160,198,0,0
