rank,host,tx_ready_shared_flag,tx_ready_in_data,tx_meta_prefetch_full,tx_ready_early_publish,rx_ready_sticky_mask,rx_ready_batch_mte2,rx_ready_batch_vector,send_route_balanced,baseline_us,fine_baseline_us,coarse_profile_host_us,kernel_critical_us,pack_critical_us,receive_critical_us,send_critical_us,send_core_ols_slope_us_per_core,send_core_spread_us,send_core_spread_pct,self_copy_critical_us,self_copy_active_max_us,sender0_tail_us,dcci_critical_us,dcci_aggregate_us,dcci_tx_data_us,dcci_rx_flag_us,dcci_rx_data_us,dcci_control_other_us,dcci_all_kernel_fraction,fine_critical_core,fine_critical_kernel_us,dcci_on_critical_core_us,dcci_critical_core_fraction,dcci_pack_receive_fraction,meta_scans,send_meta_scans,self_meta_scans,completed_routes,meta_scan_amplification,send_meta_scan_amplification,self_meta_scan_amplification,ready_miss_ratio,udma_puts,udma_bytes,doorbell_commits,wqes_per_doorbell,active_send_sqs,round_publish_wqes,round_publish_bytes,round_publish_doorbells,round_publish_quiets,all_udma_wqes,all_doorbell_commits,rx_poll_passes,rx_route_checks,rx_ready_misses,rx_ready_miss_ratio,rx_bypassed_tokens,rx_out_of_order_completions,self_copies,self_copy_bytes
0,rank0,False,False,False,False,True,False,False,True,485.217,420.4465,478.89,89.989,18.578,60.339,76.9,0.039113495200451605,6.965000000000003,9.527297326537036,0.0,6.135,16.802,0.0,0,0.0,0.0,0.0,0.0,0.0,42,96.655,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.23809523809523808,678,3818496,678,1.0,0,7,448,7,7,685,685,1280,3608,2840,0.7871396895787139,51,46,90,506880
1,rank1,False,False,False,False,True,False,False,True,488.5394,421.7302,484.74,88.926,18.881,61.185,76.964,-0.12032072275550525,8.849999999999994,12.092792149312125,0.0,8.272,14.154,0.0,0,0.0,0.0,0.0,0.0,0.0,42,96.093,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.22814070351758794,678,3818496,678,1.0,0,7,448,7,7,685,685,1308,3688,2920,0.7917570498915402,65,49,90,506880
2,rank2,False,False,False,False,True,False,False,True,474.4051,420.6885,483.04,87.761,18.543,58.878,75.352,-0.07459119141727844,5.8430000000000035,8.015473993950332,0.0,6.57,15.865,0.0,0,0.0,0.0,0.0,0.0,0.0,46,97.803,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.2123076923076923,660,3717120,660,1.0,0,7,448,7,7,667,667,1270,3664,2896,0.7903930131004366,53,43,108,608256
3,rank3,False,False,False,False,True,False,False,True,474.3123,433.2051,468.46,89.899,18.752,51.746,77.336,-0.031203839638622135,6.819999999999993,9.128164195013206,0.0,6.998,17.9,0.0,0,0.0,0.0,0.0,0.0,0.0,42,95.919,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.22658610271903323,674,3795968,674,1.0,0,7,448,7,7,681,681,1320,3707,2939,0.7928243862961963,67,48,94,529408
4,rank4,False,False,False,False,True,False,False,True,485.5693,422.3013,482.26,85.949,18.698,54.73,73.295,0.06787182382834549,5.3089999999999975,7.584389137773953,0.0,6.149,15.391,0.0,0,0.0,0.0,0.0,0.0,0.0,44,94.204,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.21792260692464357,685,3857920,685,1.0,0,7,448,7,7,692,692,1169,3217,2449,0.7612682623562325,57,44,83,467456
5,rank5,False,False,False,False,True,False,False,True,486.1419,421.2197,479.85,85.891,18.571,56.963,73.904,0.06801016374929453,6.027999999999992,8.491837037871829,0.0,8.078,13.043,0.0,0,0.0,0.0,0.0,0.0,0.0,42,96.506,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.1974921630094044,678,3818496,678,1.0,0,7,448,7,7,685,685,1302,3632,2864,0.788546255506608,64,47,90,506880
6,rank6,False,False,False,False,True,False,False,True,471.3634,430.2107,485.97,86.146,18.565,59.37,71.757,0.03893450028232628,3.951999999999998,5.656877435406621,0.0,6.694,17.125,0.0,0,0.0,0.0,0.0,0.0,0.0,42,94.186,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.20496894409937888,671,3779072,671,1.0,0,7,448,7,7,678,678,1210,3394,2626,0.7737183264584561,66,47,97,546304
7,rank7,False,False,False,False,True,False,False,True,471.2933,420.8021,482.65,86.361,18.917,58.712,74.389,0.11477696216826641,6.592999999999989,9.324466970355012,0.0,6.741,18.214,0.0,0,0.0,0.0,0.0,0.0,0.0,46,98.252,0,0.0,0.0,768,768,0,768,1.0,1.0,0.0,0.20496894409937888,686,3863552,686,1.0,0,7,448,7,7,693,693,1304,3799,3031,0.7978415372466439,69,55,82,461824
